date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:22:12	773/773	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:f8e7b18593e93bc97c93ea819215925d	https://solace-store.com/products/funyl-lamp.oembed	C:/My%20Web%20Sites/busket/solace-store.com/products/funyl-lamp.oembed	(from https://solace-store.com/products/funyl-lamp)
20:22:16	176269/176269	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Dec%202021%2013:31:53%20GMT	http://cdn.shopify.com/s/files/1/0605/2062/8438/files/LIGHT_E_700x.png?v=1634046711	C:/My%20Web%20Sites/busket/cdn.shopify.com/s/files/1/0605/2062/8438/files/LIGHT_E_700x2f9e.png	(from https://solace-store.com/products/atajux-lamp)
20:22:27	87932/87932	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Dec%202021%2020:39:23%20GMT	http://cdn.shopify.com/s/files/1/0605/2062/8438/products/LIGHTF1.png?v=1634046433	C:/My%20Web%20Sites/busket/cdn.shopify.com/s/files/1/0605/2062/8438/products/LIGHTF15756.png	(from https://solace-store.com/products/funyl-lamp)
20:22:29	780/780	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:b93c70438b3ccd39d8893551cb1dc9ad	https://solace-store.com/products/nobrega-lamp.oembed	C:/My%20Web%20Sites/busket/solace-store.com/products/nobrega-lamp.oembed	(from https://solace-store.com/products/nobrega-lamp)
20:22:31	1187011/1187011	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Dec%202021%2011:14:32%20GMT	http://cdn.shopify.com/s/files/1/0605/2062/8438/products/CHARB.png?v=1634042161	C:/My%20Web%20Sites/busket/cdn.shopify.com/s/files/1/0605/2062/8438/products/CHARBaf76.png	(from https://solace-store.com/products/paola-wood-chair)
20:22:40	60705/60705	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Dec%202021%2021:26:18%20GMT	http://cdn.shopify.com/s/files/1/0605/2062/8438/products/LIGHTB1.png?v=1634045623	C:/My%20Web%20Sites/busket/cdn.shopify.com/s/files/1/0605/2062/8438/products/LIGHTB1e2fd.png	(from https://solace-store.com/products/nobrega-lamp)
20:22:42	57969/57969	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Dec%202021%2006:18:59%20GMT	http://cdn.shopify.com/s/files/1/0605/2062/8438/products/LIGHTB.jpg?v=1634045623	C:/My%20Web%20Sites/busket/cdn.shopify.com/s/files/1/0605/2062/8438/products/LIGHTBe2fd.jpg	(from https://solace-store.com/products/nobrega-lamp)
20:22:44	780/780	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:4d785474a01d4bd094cdf4b9adc79f2b	https://solace-store.com/products/aramado-lamp.oembed	C:/My%20Web%20Sites/busket/solace-store.com/products/aramado-lamp.oembed	(from https://solace-store.com/products/aramado-lamp)
20:23:04	151527/151527	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Dec%202021%2014:32:33%20GMT	http://cdn.shopify.com/s/files/1/0605/2062/8438/products/LIGHTE1.png?v=1634046734	C:/My%20Web%20Sites/busket/cdn.shopify.com/s/files/1/0605/2062/8438/products/LIGHTE1d056.png	(from https://solace-store.com/products/nobrega-lamp)
20:23:14	57182/57182	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Dec%202021%2016:50:20%20GMT	http://cdn.shopify.com/s/files/1/0605/2062/8438/products/LIGHTC1.png?v=1634045847	C:/My%20Web%20Sites/busket/cdn.shopify.com/s/files/1/0605/2062/8438/products/LIGHTC15b48.png	(from https://solace-store.com/products/aramado-lamp)
20:23:18	802/802	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:df860fd30bc299910b5ab8fe23a508a3	https://solace-store.com/products/nobrega-light-lamp.oembed	C:/My%20Web%20Sites/busket/solace-store.com/products/nobrega-light-lamp.oembed	(from https://solace-store.com/products/nobrega-light-lamp)
20:23:28	58765/58765	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Dec%202021%2006:56:31%20GMT	http://cdn.shopify.com/s/files/1/0605/2062/8438/products/LIGHTC.jpg?v=1634045846	C:/My%20Web%20Sites/busket/cdn.shopify.com/s/files/1/0605/2062/8438/products/LIGHTC8fe4.jpg	(from https://solace-store.com/products/nobrega-light-lamp)
20:23:31	60766/60766	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:ddffa765740fa6a6716881465ba8e293	https://solace-store.com/blogs/news/POST	C:/My%20Web%20Sites/busket/solace-store.com/blogs/news/POST.100.delayed	(from https://solace-store.com/blogs/news/sarah-vaile-remixes-a-manhattan-pied-a-terre-for-a-new-chicago-apartment)
20:23:36	897175/897175	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Dec%202021%2017:05:26%20GMT	http://cdn.shopify.com/s/files/1/0605/2062/8438/products/LIGHTD.png?v=1634046055	C:/My%20Web%20Sites/busket/cdn.shopify.com/s/files/1/0605/2062/8438/products/LIGHTD8175.png	(from https://solace-store.com/products/atajux-lamp)
